V1 & V2 Robot Blueooth Profile,,,,
,,,,
Profile Name,Profile Abbreviation,Description,Supported,More Information
Advanced Audio Distribution Profile,A2DP,"Defines how multimedia audio can be streamed from one device to another over a Bluetooth connection (it is also called Bluetooth Audio Streaming).
temi Robot can be used as both A2DP master/source and A2DP slave/sink.",Yes,https://en.wikipedia.org/wiki/List_of_Bluetooth_profiles#Advanced_Audio_Distribution_Profile_(A2DP)
Audio/Video Remote Control Profile,AVRCP,"This profile is designed to provide a standard interface to control TVs, Hi-fi equipment, etc. to allow a single remote control (or other device) to control all of the A/V equipment to which a user has access. It may be used in concert with A2DP or VDP.",Yes,https://en.wikipedia.org/wiki/List_of_Bluetooth_profiles#Audio/Video_Remote_Control_Profile_(AVRCP)
Basic Printing Profile,BPP,"This allows devices to send text, e-mails, vCards, or other items to printers based on print jobs. ",No,https://en.wikipedia.org/wiki/List_of_Bluetooth_profiles#Basic_Printing_Profile_(BPP)
Generic Attribute Profile,GATT,Provides profile discovery and description services for Bluetooth Low Energy protocol. It defines how ATT attributes are grouped together into sets to form services.,Yes,https://en.wikipedia.org/wiki/List_of_Bluetooth_profiles#Generic_Attribute_Profile_(GATT)
Generic Audio/Video Distribution Profile,GAVDP,"Provides the basis for A2DP and VDP, the basis of the systems designed for distributing video and audio streams using Bluetooth technology. ",Yes,https://en.wikipedia.org/wiki/List_of_Bluetooth_profiles#Generic_Audio/Video_Distribution_Profile_(GAVDP)
Hands-Free Profile,HFP,This profile is used to allow car hands-free kits to communicate with mobile phones in the car.,No,https://en.wikipedia.org/wiki/List_of_Bluetooth_profiles#Hands-Free_Profile_(HFP)
Health Device Profile,HDP,Profile designed to facilitate transmission and reception of Medical Device data. ,Yes,https://en.wikipedia.org/wiki/List_of_Bluetooth_profiles#Health_Device_Profile_(HDP)
Headset Profile,HSP,"This is the most commonly used profile, providing support for the popular Bluetooth headsets to be used with mobile phones and gaming consoles.",Yes,https://en.wikipedia.org/wiki/List_of_Bluetooth_profiles#Headset_Profile_(HSP)
Human Interface Device Profile,HID,"Provides support for devices such as mice, joysticks, keyboards, and simple buttons and indicators on other types of devices.",Yes,https://en.wikipedia.org/wiki/List_of_Bluetooth_profiles#Human_Interface_Device_Profile_(HID)
Message Access Profile,MAP,Message Access Profile specification allows exchange of messages between devices. Mostly used for automotive handsfree use. ,Yes,https://en.wikipedia.org/wiki/List_of_Bluetooth_profiles#Message_Access_Profile_(MAP)
Object Push Profile,OPP,"A profile for sending ""objects"" such as pictures, virtual business cards, or appointment details.",Yes,https://en.wikipedia.org/wiki/List_of_Bluetooth_profiles#Object_Push_Profile_(OPP)
Personal Area Networking Profile,PAN,This profile is intended to allow the use of Bluetooth Network Encapsulation Protocol on Layer 3 protocols for transport over a Bluetooth link. ,No,https://en.wikipedia.org/wiki/List_of_Bluetooth_profiles#Personal_Area_Networking_Profile_(PAN)
Phone Book Access Profile,"PBAP, PBA",A profile that allows exchange of Phone Book Objects between devices. ,No,"https://en.wikipedia.org/wiki/List_of_Bluetooth_profiles#Phone_Book_Access_Profile_(PBAP,_PBA)"
Serial Port Profile,SPP,"This profile emulates serial cables to provide a simple substitute for existing RS-232, including the familiar control signals. ",Yes,https://en.wikipedia.org/wiki/List_of_Bluetooth_profiles#Serial_Port_Profile_(SPP)
